default,student,balance,income
False,False,729.5264952072861,44361.62507426691
False,True,817.180406555498,12106.1347003149
False,False,1073.54916401173,31767.1389473999
False,False,529.250604745278,35704.4939350781
False,False,785.655882930501,38463.4958787229
False,True,919.5885304745,7491.55857182746
False,False,825.513330517201,24905.226577523503
False,True,808.667504297266,17600.4513435869
False,False,1161.05785403132,37468.5292875375
False,False,0.0,29275.2682931678
False,True,0.0,21871.0730892776
False,True,1220.58375300377,13268.562220926102
False,False,237.045113977472,28251.6953449631
False,False,606.742343302464,44994.55584921731
False,False,1112.96840063305,23810.174050036
False,False,286.232560139224,45042.413035885496
False,False,0.0,50265.3123535985
False,True,527.540184074571,17636.5396172936
False,False,485.936864171729,61566.106117801
False,False,1095.0727352874,26464.631389228998
False,False,228.952549642572,50500.1821977441
False,False,954.261792773546,32457.5090750754
False,False,1055.95660472904,51317.8830823874
False,False,641.984388848021,30466.1032574814
False,False,773.211724534176,34353.3143050038
False,False,855.008522525692,25211.3321614539
False,False,642.99973851543,41473.5118010187
False,False,1454.86327248404,32189.0949523178
False,False,615.704276560405,39376.3946187014
False,True,1119.56935332865,16556.0702053511
False,False,494.81622880732596,54384.782836138605
False,True,448.88065625603895,15799.4704097956
False,True,584.90489468245,22429.9350462168
False,False,913.5871726089281,46907.22540286231
False,True,1423.93891664088,22634.4880875812
False,True,1499.7246565597302,13190.6527164103
False,False,692.034167065432,47806.6117728963
False,False,351.45347152301,35087.488648085804
False,False,742.627620785597,37864.8239388952
False,False,653.118400123388,39489.5947028613
False,False,872.138679538477,41787.5672689012
False,False,837.2626227541709,51471.772094637694
False,False,1151.63056608265,42917.4695636282
False,True,220.55560838643999,16872.9475557814
False,True,1690.2344103870098,19052.5722246955
False,False,408.772914305185,54206.9392120179
False,False,1238.61032124112,50066.6805336538
False,False,1228.30835035336,37408.5038685076
False,False,820.9192041461839,47746.5420731016
False,False,857.4851177764999,31688.3459738919
False,False,563.6181771823619,42641.253266646
False,True,1282.97253359578,13120.6364696027
False,True,1505.78267482884,26557.1414458808
False,True,904.0402590668131,16882.3006056535
False,False,0.0,49956.58057190599
False,True,1294.4973466731,10464.3207319231
False,True,1275.55063272364,15887.4684867774
False,False,1536.5946009725199,48766.9074575615
False,False,1332.5226438669501,39143.1370690178
False,False,492.079767815411,33379.094602839505
False,False,766.234379303894,46478.2942569524
False,False,690.127246199993,63432.9842544674
False,False,0.0,32481.540046115097
False,False,1480.65530926266,36866.1570686848
False,False,989.055596975304,45344.251320264804
False,False,1302.34183516856,33695.4262332636
False,False,1044.5523432847199,54696.7659816226
False,False,0.0,43658.2277239957
False,False,866.0284363679901,38363.421634711805
False,False,690.800792354134,48140.471335995
False,False,597.757142017061,31577.6151255677
False,False,429.485402306276,51311.218101023
False,False,1398.1562014832598,39644.9421931896
False,True,1578.0640985399402,19886.4939515168
False,False,857.0690531342419,26655.6889653755
False,True,752.459945958806,16211.2757881826
False,True,774.738426963927,15193.733135525
False,False,728.3732513025869,45131.71826469099
False,False,76.99129052990709,28392.0934122846
False,False,196.456913136183,41346.78591324
False,True,948.747918388616,14297.619048551298
False,False,431.920885304176,39369.881563100804
False,False,461.63818223377996,46221.2114948234
False,False,572.015760230599,33046.3129575033
False,False,335.568144733179,51258.4442299621
False,False,510.23759315638,60397.718648694805
False,True,1005.16130555577,24038.652043311802
False,True,162.454451086564,13241.752060075902
False,False,932.5331556823301,50537.465648460195
False,True,893.3304676122749,11905.681792548401
False,False,1332.78256352571,44495.1627629054
False,False,1404.38306945215,35043.1060286742
False,True,1148.96513915926,16578.1921184729
False,False,368.223425720545,57596.825843193496
False,False,449.466628769273,45950.666723868606
False,False,820.017112578423,51584.6573183834
False,True,619.751868575593,15750.6220834222
False,False,1047.71812400961,46416.97099424191
False,False,243.84132832576,47193.8881309706
False,False,186.50038693149503,45430.5502710943
False,False,1422.01848757576,38224.0315214972
False,False,383.798659005674,61425.28638811401
False,False,1159.4350960885902,45802.1049386909
False,False,882.99191255185,17181.7379663818
False,False,1463.23289161086,65457.8541875824
False,True,1722.35584628315,19311.4229408044
False,True,773.921861257735,14558.9121383835
False,False,958.169418468988,32816.2847956415
False,False,1207.53273014951,68037.57512617769
False,False,1056.6108304963,30546.601034377403
False,False,117.64248393177601,46550.2672705963
False,False,596.9641192370041,58088.3604512649
False,False,0.0,47729.6257581971
False,True,541.6627553244571,16335.7034406021
False,False,1119.17830341806,45020.0191217013
False,True,810.320936469835,20498.66581411
False,False,271.55143774701,32850.1201448079
False,False,1114.4032365042801,47714.0221084582
False,False,867.030828053564,33540.9799848111
False,True,1176.7894016772,17632.712103849
False,False,610.227818661398,42465.3629640684
False,False,272.615661715535,55449.3386406402
False,False,449.73508583685896,49643.426441667696
False,True,827.767209400324,10673.5262253922
False,False,430.000099449901,33925.2195976742
False,False,0.0,31825.7649719215
False,True,1557.34463668228,18404.594189222
False,False,928.236966261476,33722.1589415677
False,False,1373.45016328929,49101.798214189694
False,True,951.072907499984,18601.5332374944
False,True,1292.21086850542,23065.850975377
False,False,582.188700706555,24760.795733056402
False,True,339.42463828091303,19307.98029025
False,False,409.982324608766,44641.090118395994
False,False,1216.4515095543302,53639.846827384295
False,False,598.461392123585,44124.2681146436
True,True,1486.99812160021,17854.3970280731
False,False,943.7963387137621,59976.839867644405
False,False,0.0,49525.745020849405
False,True,996.2760867665919,20883.2407676238
False,True,748.301340361255,11248.670752734799
False,False,324.737921782032,15411.518567294299
False,True,575.382158489508,16005.6813190057
False,False,441.73828492625296,36012.2358964554
False,False,1188.64217955294,39526.5612652646
False,False,95.14768019040551,51371.1999147598
False,False,1015.61483748402,43218.794375243
False,False,1258.5673927256698,44931.6749177461
False,True,1178.24441352846,7750.289220559209
False,False,731.532656254407,43956.0600839728
False,False,350.088792139872,44455.199515035594
False,False,418.848345433837,36901.783328120204
False,False,533.2294651813739,39393.5424772748
False,False,95.29697412836799,32359.3890284286
False,True,1453.0059320730302,15933.002110981899
False,False,352.644414031465,39404.7443664762
False,True,736.2389354625,14107.9939653376
False,False,1306.4845722752,41224.6250242432
False,False,1149.14562717899,45194.7946620784
False,False,703.226890721538,57679.2791425179
False,True,1360.80043541238,18864.3084886679
False,False,31.4450805447328,53287.3503013149
False,False,988.214458069386,48570.363456632695
False,False,360.019073584363,23927.5466133912
False,False,647.483528619273,33226.2775446785
False,True,0.0,9816.78943755756
False,False,445.241819216304,31974.6245068978
False,True,878.542064501041,17496.7414821956
False,True,335.834118576172,21759.8702696952
False,False,666.608881434336,30438.4688266267
False,False,813.8766470198641,40737.4597766098
False,False,836.3000716231911,54607.1787395438
False,False,967.4826836817801,33055.1102723298
True,True,2205.79952114829,14271.492252976
False,True,1258.18521914431,11672.222003339699
False,False,1239.80169908455,40107.1722104231
False,True,0.0,13760.2984556873
False,True,927.8877322636071,22473.3796109537
False,True,1390.03078251892,21299.0992265335
False,False,410.497704767954,53471.213630325496
False,False,73.0765421846567,30681.737535146804
False,False,790.59775924737,45303.10331412611
False,False,789.4950969838201,32579.9002059474
False,False,791.360422078743,46319.2361190854
False,False,479.042378990356,37255.8803342804
False,False,888.613272550212,28899.7917513637
False,False,1284.38636050636,42831.9546193997
False,True,712.276351280275,23341.950230243197
False,True,1290.62016864921,18408.049081960802
False,False,126.362685399057,44280.9297885654
False,False,779.3762576956509,61158.8851121863
False,False,697.490957463777,49476.759599280995
False,False,606.974613548306,43610.0330173371
False,True,1802.9033335574,21411.4239490249
False,False,900.0853325974989,41276.5631894987
False,False,966.280287968092,33440.9792997775
False,False,671.0613596391639,35689.1118739108
False,False,171.559115959856,23505.9927713232
False,False,1482.48030006315,45260.6115977848
False,False,640.662751732474,46464.5659322762
False,True,706.161027541986,18078.3517921729
True,True,1774.69422305776,20359.5060855671
False,False,916.4993169230901,25768.4074467213
False,False,1271.2708123604,36053.5029503061
False,False,110.572909811983,47339.1087511931
False,False,1747.25888152959,37819.2890860198
True,False,1889.59918976304,48956.1715885681
False,False,27.2013946505765,21051.8401259701
False,False,746.2297750573911,35159.8502288788
True,True,1899.3906258472,20655.2000032624
False,True,813.994565525349,20391.528948171297
False,False,499.457815094636,38899.1604610096
False,False,853.16133166086,36272.451783591096
False,False,474.72731908828797,32064.335105797403
False,False,1235.8761134541699,35838.7770153588
False,False,620.675152595598,44213.770101262
False,False,220.02856976493402,37880.0296471597
False,True,1304.9142993182902,18074.0754152021
False,True,1608.15255984335,22358.0467020111
False,False,256.47122755981496,37657.0559167998
False,True,1153.60499815384,19224.9752298419
False,False,771.895874508519,31170.085283676603
False,True,1099.63042217728,17064.0428279584
False,False,782.8830296639051,40357.1334266019
False,False,444.26490617527196,35924.3387929274
False,False,504.02837873803,24780.9612369205
False,False,1762.50340198816,42124.6600673934
False,True,850.096116596461,18618.987907501898
False,False,1412.2387213031698,40785.059769421205
False,False,715.496829588669,47482.5653767305
False,False,1363.52859942133,55713.0416079129
False,False,493.24188979938697,42495.2030840663
False,False,1354.75253720358,33375.1316903778
False,True,571.293911015155,15416.2693546858
False,False,956.1513521834501,44086.70773423139
False,False,964.820252985381,34390.7460350566
False,False,552.634366024658,50513.1642384347
False,False,338.26620164709203,37767.239862892995
False,False,709.123351356216,44041.6300941084
